Copenhagen;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
January;34;34;34;34;34;36;36;36;37;36;36;37;36;36;36;36;37;36;36;36;34;34;30;0;0;34;34;34;0;34;34
February ;34;34;34;36;36;36;36;36;34;34;34;30;0;34;34;0;34;34;34;34;34;34;34;34;36;36;34;37;;;
March;36;36;34;34;36;34;36;36;37;37;39;37;37;37;37;39;41;39;39;37;37;37;39;39;39;37;39;43;41;41;43
April;43;43;43;43;43;43;43;43;43;45;45;45;46;45;46;46;46;46;46;45;46;48;48;48;50;50;52;52;52;52;
May;50;50;50;50;50;52;52;54;55;55;54;52;52;52;52;54;54;54;54;55;57;55;57;55;57;55;57;57;57;57;57
June;57;59;59;59;59;59;59;59;59;61;59;59;59;59;57;57;59;61;61;61;63;61;61;61;61;61;61;61;61;63;
July;61;63;64;66;66;64;64;64;66;66;64;64;64;64;66;64;66;64;66;64;64;64;66;66;64;64;66;68;68;66;66
August;66;68;66;64;66;66;66;66;66;64;64;63;64;64;64;64;64;63;66;66;64;64;63;63;63;64;63;61;61;61;61
September;61;61;59;61;59;61;63;63;63;61;61;59;59;59;59;57;57;57;57;57;57;57;57;55;57;55;55;55;55;55;
October;54;54;55;55;54;54;52;54;52;52;52;52;50;50;48;48;48;46;48;50;48;50;50;48;50;50;48;48;46;48;48
November;48;46;46;46;45;45;45;46;45;43;43;45;43;43;45;43;43;43;41;41;41;41;41;39;41;41;41;41;39;39;
December;39;39;39;39;41;39;37;39;39;37;39;37;37;37;37;36;36;34;34;34;34;34;36;37;37;36;36;36;34;34;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Istanbul;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
January;41;43;48;46;46;45;36;30;37;43;48;45;45;46;48;48;48;48;45;46;48;48;48;48;50;43;39;43;43;43;45
February ;48;48;52;52;50;46;48;46;48;48;46;46;46;48;48;48;45;45;45;48;46;48;50;52;48;48;48;46;;;
March;43;48;54;50;48;55;55;54;50;50;50;50;50;50;48;46;48;50;52;52;54;54;52;52;50;52;54;52;52;54;55
April;55;54;54;52;55;59;55;54;54;54;55;59;57;57;57;59;59;57;55;59;54;54;54;59;61;61;64;66;64;63;
May;59;61;61;61;63;63;61;63;64;63;63;64;66;66;68;68;68;68;68;66;68;66;68;68;68;70;66;66;68;70;70
June;72;72;72;72;72;72;72;72;72;72;72;75;75;73;75;77;75;75;73;73;77;77;77;77;77;77;77;77;77;77;
July;79;79;79;77;77;77;77;79;79;81;79;79;79;81;79;81;81;79;77;79;79;79;81;81;79;81;81;82;82;82;82
August;81;81;81;82;82;84;84;82;82;81;81;79;79;81;81;82;81;81;81;81;81;81;77;79;79;79;79;81;79;77;77
September;79;77;77;77;75;77;77;75;75;75;77;75;75;73;75;77;75;75;75;73;72;68;68;70;72;73;72;72;70;68;
October;68;64;66;64;64;64;66;66;63;64;66;64;64;66;64;68;66;66;64;63;61;66;66;64;63;61;59;63;63;59;57
November;57;59;59;59;61;63;59;59;59;59;59;61;61;59;57;55;55;57;59;59;57;55;57;57;54;54;55;54;54;54;
December;55;55;55;52;48;48;48;50;54;48;50;46;48;50;48;48;50;48;46;43;43;45;45;46;46;50;50;50;48;45;41
