Month,January,February ,March,April,May,June,July,August,September,October,November,December
1,41,48,43,55,59,72,79,81,79,68,57,55
2,43,48,48,54,61,72,79,81,77,64,59,55
3,48,52,54,54,61,72,79,81,77,66,59,55
4,46,52,50,52,61,72,77,82,77,64,59,52
5,46,50,48,55,63,72,77,82,75,64,61,48
6,45,46,55,59,63,72,77,84,77,64,63,48
7,36,48,55,55,61,72,77,84,77,66,59,48
8,30,46,54,54,63,72,79,82,75,66,59,50
9,37,48,50,54,64,72,79,82,75,63,59,54
10,43,48,50,54,63,72,81,81,75,64,59,48
11,48,46,50,55,63,72,79,81,77,66,59,50
12,45,46,50,59,64,75,79,79,75,64,61,46
13,45,46,50,57,66,75,79,79,75,64,61,48
14,46,48,50,57,66,73,81,81,73,66,59,50
15,48,48,48,57,68,75,79,81,75,64,57,48
16,48,48,46,59,68,77,81,82,77,68,55,48
17,48,45,48,59,68,75,81,81,75,66,55,50
18,48,45,50,57,68,75,79,81,75,66,57,48
19,45,45,52,55,68,73,77,81,75,64,59,46
20,46,48,52,59,66,73,79,81,73,63,59,43
21,48,46,54,54,68,77,79,81,72,61,57,43
22,48,48,54,54,66,77,79,81,68,66,55,45
23,48,50,52,54,68,77,81,77,68,66,57,45
24,48,52,52,59,68,77,81,79,70,64,57,46
25,50,48,50,61,68,77,79,79,72,63,54,46
26,43,48,52,61,70,77,81,79,73,61,54,50
27,39,48,54,64,66,77,81,79,72,59,55,50
28,43,46,52,66,66,77,82,81,72,63,54,50
29,43,,52,64,68,77,82,79,70,63,54,48
30,43,,54,63,70,77,82,77,68,59,54,45
31,45,,55,,70,,82,77,,57,,41
